"","stressor.year","stressor.months","stressor.state","stressor.stressor","stressor.stress_pct"
"57",2015,"January-March","Idaho","Disesases",12.5
"58",2015,"January-March","Idaho","Pesticides",4.8
"59",2015,"January-March","Idaho","Other",8.9
"60",2015,"January-March","Idaho","Unknown",4.9
"61",2015,"January-March","Illinois","Varroa mites",12.3
"62",2015,"January-March","Illinois","Other pests/parasites",6.9
"63",2015,"January-March","Illinois","Disesases",0.7
"64",2015,"January-March","Illinois","Pesticides",0.4
"65",2015,"January-March","Illinois","Other",12.6
"66",2015,"January-March","Illinois","Unknown",11.6
"67",2015,"January-March","Indiana","Varroa mites",20.7
"68",2015,"January-March","Indiana","Other pests/parasites",0.3
"69",2015,"January-March","Indiana","Disesases",0.2
"70",2015,"January-March","Indiana","Pesticides",0.3
"71",2015,"January-March","Indiana","Other",22.3
"72",2015,"January-March","Indiana","Unknown",11.7
"73",2015,"January-March","Iowa","Varroa mites",26
"74",2015,"January-March","Iowa","Other pests/parasites",0.7
"75",2015,"January-March","Iowa","Disesases",4.6
"76",2015,"January-March","Iowa","Pesticides",3.4
"77",2015,"January-March","Iowa","Other",18
"78",2015,"January-March","Iowa","Unknown",3.4
"79",2015,"January-March","Kansas","Varroa mites",32.7
"80",2015,"January-March","Kansas","Other pests/parasites",1.3
"81",2015,"January-March","Kansas","Disesases",1.1
"82",2015,"January-March","Kansas","Pesticides",14.2
"83",2015,"January-March","Kansas","Other",9.5
"84",2015,"January-March","Kansas","Unknown",3.4
"85",2015,"January-March","Kentucky","Varroa mites",10.8
"86",2015,"January-March","Kentucky","Other pests/parasites",10.7
"87",2015,"January-March","Kentucky","Disesases",2.5
"88",2015,"January-March","Kentucky","Pesticides",2.5
"89",2015,"January-March","Kentucky","Other",22.7
"90",2015,"January-March","Kentucky","Unknown",12.9
"91",2015,"January-March","Louisiana","Varroa mites",17.2
"92",2015,"January-March","Louisiana","Other pests/parasites",4.7
"93",2015,"January-March","Louisiana","Disesases",4.3
"94",2015,"January-March","Louisiana","Pesticides",1.7
"95",2015,"January-March","Louisiana","Other",3.1
"96",2015,"January-March","Louisiana","Unknown",2.1
"97",2015,"January-March","Maine","Varroa mites",4.4
"98",2015,"January-March","Maine","Other pests/parasites",0.1
"99",2015,"January-March","Maine","Disesases",NA
"100",2015,"January-March","Maine","Pesticides",NA
"101",2015,"January-March","Maine","Other",7.5
"102",2015,"January-March","Maine","Unknown",1.9
"103",2015,"January-March","Maryland","Varroa mites",10.1
"104",2015,"January-March","Maryland","Other pests/parasites",1.8
"105",2015,"January-March","Maryland","Disesases",0.4
"106",2015,"January-March","Maryland","Pesticides",NA
"107",2015,"January-March","Maryland","Other",24.2
"108",2015,"January-March","Maryland","Unknown",12.4
"109",2015,"January-March","Massachusetts","Varroa mites",23.5
"110",2015,"January-March","Massachusetts","Other pests/parasites",3.5
"111",2015,"January-March","Massachusetts","Disesases",2.1
"112",2015,"January-March","Massachusetts","Pesticides",2.8
"113",2015,"January-March","Massachusetts","Other",7.6
"114",2015,"January-March","Massachusetts","Unknown",4.7
"115",2015,"January-March","Michigan","Varroa mites",14.3
"116",2015,"January-March","Michigan","Other pests/parasites",3.1
"117",2015,"January-March","Michigan","Disesases",1.1
"118",2015,"January-March","Michigan","Pesticides",1.6
"119",2015,"January-March","Michigan","Other",8.3
"120",2015,"January-March","Michigan","Unknown",4.6
"121",2015,"January-March","Minnesota","Varroa mites",1.4
"122",2015,"January-March","Minnesota","Other pests/parasites",0.1
"123",2015,"January-March","Minnesota","Disesases",NA
"124",2015,"January-March","Minnesota","Pesticides",0.1
"125",2015,"January-March","Minnesota","Other",1.6
"126",2015,"January-March","Minnesota","Unknown",2.1
"127",2015,"January-March","Mississippi","Varroa mites",9.4
"128",2015,"January-March","Mississippi","Other pests/parasites",8.2
"129",2015,"January-March","Mississippi","Disesases",0.1
"130",2015,"January-March","Mississippi","Pesticides",2.1
"131",2015,"January-March","Mississippi","Other",1.2
"132",2015,"January-March","Mississippi","Unknown",1.1
"133",2015,"January-March","Missouri","Varroa mites",13.1
"134",2015,"January-March","Missouri","Other pests/parasites",6
"135",2015,"January-March","Missouri","Disesases",2.2
"136",2015,"January-March","Missouri","Pesticides",4.2
"137",2015,"January-March","Missouri","Other",11.8
"138",2015,"January-March","Missouri","Unknown",6.3
"139",2015,"January-March","Montana","Varroa mites",8.7
"140",2015,"January-March","Montana","Other pests/parasites",0.5
"141",2015,"January-March","Montana","Disesases",0.6
"142",2015,"January-March","Montana","Pesticides",0.8
"143",2015,"January-March","Montana","Other",2.3
"144",2015,"January-March","Montana","Unknown",7.9
"145",2015,"January-March","Nebraska","Varroa mites",5.9
"146",2015,"January-March","Nebraska","Other pests/parasites",0.1
"147",2015,"January-March","Nebraska","Disesases",0.1
"148",2015,"January-March","Nebraska","Pesticides",0.5
"149",2015,"January-March","Nebraska","Other",0.3
"150",2015,"January-March","Nebraska","Unknown",3
"151",2015,"January-March","New Jersey","Varroa mites",40.1
"152",2015,"January-March","New Jersey","Other pests/parasites",13.2
"153",2015,"January-March","New Jersey","Disesases",30.4
"154",2015,"January-March","New Jersey","Pesticides",11.1
"155",2015,"January-March","New Jersey","Other",19.5
"156",2015,"January-March","New Jersey","Unknown",16.7
"157",2015,"January-March","New Mexico","Varroa mites",17.1
"158",2015,"January-March","New Mexico","Other pests/parasites",0.1
"159",2015,"January-March","New Mexico","Disesases",NA
"160",2015,"January-March","New Mexico","Pesticides",0.2
"161",2015,"January-March","New Mexico","Other",1.3
"162",2015,"January-March","New Mexico","Unknown",0.4
"163",2015,"January-March","New York","Varroa mites",7.6
"164",2015,"January-March","New York","Other pests/parasites",2.6
"165",2015,"January-March","New York","Disesases",0.5
"166",2015,"January-March","New York","Pesticides",4.4
"167",2015,"January-March","New York","Other",12.4
"168",2015,"January-March","New York","Unknown",8.3
"169",2015,"January-March","North Carolina","Varroa mites",35.5
"170",2015,"January-March","North Carolina","Other pests/parasites",2.3
"171",2015,"January-March","North Carolina","Disesases",0.1
"172",2015,"January-March","North Carolina","Pesticides",22.9
"173",2015,"January-March","North Carolina","Other",6.2
"174",2015,"January-March","North Carolina","Unknown",12.2
"175",2015,"January-March","North Dakota","Varroa mites",1.7
"176",2015,"January-March","North Dakota","Other pests/parasites",1.7
"177",2015,"January-March","North Dakota","Disesases",NA
"178",2015,"January-March","North Dakota","Pesticides",NA
"179",2015,"January-March","North Dakota","Other",2.5
"180",2015,"January-March","North Dakota","Unknown",0.1
"181",2015,"January-March","Ohio","Varroa mites",10.7
"182",2015,"January-March","Ohio","Other pests/parasites",1.6
"183",2015,"January-March","Ohio","Disesases",1
"184",2015,"January-March","Ohio","Pesticides",3
"185",2015,"January-March","Ohio","Other",17.8
"186",2015,"January-March","Ohio","Unknown",3.1
"187",2015,"January-March","Oklahoma","Varroa mites",14.5
"188",2015,"January-March","Oklahoma","Other pests/parasites",10.1
"189",2015,"January-March","Oklahoma","Disesases",0.5
"190",2015,"January-March","Oklahoma","Pesticides",NA
"191",2015,"January-March","Oklahoma","Other",2.1
"192",2015,"January-March","Oklahoma","Unknown",2.9
"193",2015,"January-March","Oregon","Varroa mites",20.2
"194",2015,"January-March","Oregon","Other pests/parasites",2
"195",2015,"January-March","Oregon","Disesases",0.4
"196",2015,"January-March","Oregon","Pesticides",0.6
"197",2015,"January-March","Oregon","Other",1.6
"198",2015,"January-March","Oregon","Unknown",1.1
"199",2015,"January-March","Pennsylvania","Varroa mites",28.1
"200",2015,"January-March","Pennsylvania","Other pests/parasites",6.3
"201",2015,"January-March","Pennsylvania","Disesases",1.9
"202",2015,"January-March","Pennsylvania","Pesticides",1.9
"203",2015,"January-March","Pennsylvania","Other",17.8
"204",2015,"January-March","Pennsylvania","Unknown",6.3
"205",2015,"January-March","South Carolina","Varroa mites",10.5
"206",2015,"January-March","South Carolina","Other pests/parasites",2.3
"207",2015,"January-March","South Carolina","Disesases",0.2
"208",2015,"January-March","South Carolina","Pesticides",0.3
"209",2015,"January-March","South Carolina","Other",3.6
"210",2015,"January-March","South Carolina","Unknown",2.9
"211",2015,"January-March","South Dakota","Varroa mites",1.2
"212",2015,"January-March","South Dakota","Other pests/parasites",0.9
"213",2015,"January-March","South Dakota","Disesases",0.3
"214",2015,"January-March","South Dakota","Pesticides",0.5
"215",2015,"January-March","South Dakota","Other",1.2
"216",2015,"January-March","South Dakota","Unknown",1.8
"217",2015,"January-March","Tennessee","Varroa mites",22.2
"218",2015,"January-March","Tennessee","Other pests/parasites",17.1
"219",2015,"January-March","Tennessee","Disesases",NA
"220",2015,"January-March","Tennessee","Pesticides",NA
"221",2015,"January-March","Tennessee","Other",13
"222",2015,"January-March","Tennessee","Unknown",4.4
"223",2015,"January-March","Texas","Varroa mites",21.5
"224",2015,"January-March","Texas","Other pests/parasites",12.2
"225",2015,"January-March","Texas","Disesases",5
"226",2015,"January-March","Texas","Pesticides",11.1
"227",2015,"January-March","Texas","Other",2.3
"228",2015,"January-March","Texas","Unknown",6.2
"229",2015,"January-March","Utah","Varroa mites",13.6
"230",2015,"January-March","Utah","Other pests/parasites",0.9
"231",2015,"January-March","Utah","Disesases",0.1
"232",2015,"January-March","Utah","Pesticides",4.4
"233",2015,"January-March","Utah","Other",3
"234",2015,"January-March","Utah","Unknown",0.5
"235",2015,"January-March","Vermont","Varroa mites",2.3
"236",2015,"January-March","Vermont","Other pests/parasites",5.6
"237",2015,"January-March","Vermont","Disesases",NA
"238",2015,"January-March","Vermont","Pesticides",NA
"239",2015,"January-March","Vermont","Other",5.8
"240",2015,"January-March","Vermont","Unknown",4.9
"241",2015,"January-March","Virginia","Varroa mites",19
"242",2015,"January-March","Virginia","Other pests/parasites",9.4
"243",2015,"January-March","Virginia","Disesases",2.3
"244",2015,"January-March","Virginia","Pesticides",NA
"245",2015,"January-March","Virginia","Other",9.8
"246",2015,"January-March","Virginia","Unknown",11.9
"247",2015,"January-March","Washington","Varroa mites",21.5
"248",2015,"January-March","Washington","Other pests/parasites",0.5
"249",2015,"January-March","Washington","Disesases",0.3
"250",2015,"January-March","Washington","Pesticides",3.6
"251",2015,"January-March","Washington","Other",6
"252",2015,"January-March","Washington","Unknown",1.1
"253",2015,"January-March","West Virginia","Varroa mites",18
"254",2015,"January-March","West Virginia","Other pests/parasites",7.3
"255",2015,"January-March","West Virginia","Disesases",2.2
"256",2015,"January-March","West Virginia","Pesticides",2.1
"257",2015,"January-March","West Virginia","Other",14.6
"258",2015,"January-March","West Virginia","Unknown",6.1
"259",2015,"January-March","Wisconsin","Varroa mites",18.8
"260",2015,"January-March","Wisconsin","Other pests/parasites",1.6
"261",2015,"January-March","Wisconsin","Disesases",2.7
"262",2015,"January-March","Wisconsin","Pesticides",8.5
"263",2015,"January-March","Wisconsin","Other",8.3
"264",2015,"January-March","Wisconsin","Unknown",5.8
"265",2015,"January-March","Wyoming","Varroa mites",0.9
"266",2015,"January-March","Wyoming","Other pests/parasites",NA
"267",2015,"January-March","Wyoming","Disesases",NA
"268",2015,"January-March","Wyoming","Pesticides",NA
"269",2015,"January-March","Wyoming","Other",0.7
"270",2015,"January-March","Wyoming","Unknown",NA
"271",2015,"January-March","Other States","Varroa mites",0.8
"272",2015,"January-March","Other States","Other pests/parasites",0.1
"273",2015,"January-March","Other States","Disesases",NA
"274",2015,"January-March","Other States","Pesticides",0.1
"275",2015,"January-March","Other States","Other",0.9
"276",2015,"January-March","Other States","Unknown",NA
"277",2015,"January-March","United States","Varroa mites",25.2
"278",2015,"January-March","United States","Other pests/parasites",8.6
"279",2015,"January-March","United States","Disesases",3.1
"280",2015,"January-March","United States","Pesticides",7.4
"281",2015,"January-March","United States","Other",6.9
"282",2015,"January-March","United States","Unknown",4.3
"283",2015,"April-June","Alabama","Varroa mites",16.7
"284",2015,"April-June","Alabama","Other pests/parasites",42.5
"285",2015,"April-June","Alabama","Disesases",NA
"286",2015,"April-June","Alabama","Pesticides",2.3
"287",2015,"April-June","Alabama","Other",3.2
"288",2015,"April-June","Alabama","Unknown",4.1
"289",2015,"April-June","Arizona","Varroa mites",8.4
"290",2015,"April-June","Arizona","Other pests/parasites",32.1
"291",2015,"April-June","Arizona","Disesases",0.5
"292",2015,"April-June","Arizona","Pesticides",20.1
"293",2015,"April-June","Arizona","Other",28.2
"294",2015,"April-June","Arizona","Unknown",0.3
"295",2015,"April-June","Arkansas","Varroa mites",65.9
"296",2015,"April-June","Arkansas","Other pests/parasites",63.4
"297",2015,"April-June","Arkansas","Disesases",7
"298",2015,"April-June","Arkansas","Pesticides",22.6
"299",2015,"April-June","Arkansas","Other",27.4
"300",2015,"April-June","Arkansas","Unknown",9.3
"301",2015,"April-June","California","Varroa mites",50.9
"302",2015,"April-June","California","Other pests/parasites",21.5
"303",2015,"April-June","California","Disesases",7.8
"304",2015,"April-June","California","Pesticides",23
"305",2015,"April-June","California","Other",14.2
"306",2015,"April-June","California","Unknown",3.1
"307",2015,"April-June","Colorado","Varroa mites",38.6
"308",2015,"April-June","Colorado","Other pests/parasites",1.8
"309",2015,"April-June","Colorado","Disesases",4.6
"310",2015,"April-June","Colorado","Pesticides",2.8
"311",2015,"April-June","Colorado","Other",3.4
"312",2015,"April-June","Colorado","Unknown",6.6
"313",2015,"April-June","Connecticut","Varroa mites",10.2
"314",2015,"April-June","Connecticut","Other pests/parasites",0.4
"315",2015,"April-June","Connecticut","Disesases",1.9
"316",2015,"April-June","Connecticut","Pesticides",0.8
"317",2015,"April-June","Connecticut","Other",1
"318",2015,"April-June","Connecticut","Unknown",0.7
"319",2015,"April-June","Florida","Varroa mites",44.2
"320",2015,"April-June","Florida","Other pests/parasites",26.4
"321",2015,"April-June","Florida","Disesases",2.7
"322",2015,"April-June","Florida","Pesticides",17.7
"323",2015,"April-June","Florida","Other",13.6
"324",2015,"April-June","Florida","Unknown",5.4
"325",2015,"April-June","Georgia","Varroa mites",52.8
"326",2015,"April-June","Georgia","Other pests/parasites",17.5
"327",2015,"April-June","Georgia","Disesases",2.9
"328",2015,"April-June","Georgia","Pesticides",28.7
"329",2015,"April-June","Georgia","Other",11.5
"330",2015,"April-June","Georgia","Unknown",4.1
"331",2015,"April-June","Hawaii","Varroa mites",60.1
"332",2015,"April-June","Hawaii","Other pests/parasites",61
"333",2015,"April-June","Hawaii","Disesases",0.3
"334",2015,"April-June","Hawaii","Pesticides",0.1
"335",2015,"April-June","Hawaii","Other",3.2
"336",2015,"April-June","Hawaii","Unknown",0.1
"337",2015,"April-June","Idaho","Varroa mites",25.5
"338",2015,"April-June","Idaho","Other pests/parasites",6.7
"339",2015,"April-June","Idaho","Disesases",6.5
"340",2015,"April-June","Idaho","Pesticides",6
"341",2015,"April-June","Idaho","Other",13.7
"342",2015,"April-June","Idaho","Unknown",0.3
"343",2015,"April-June","Illinois","Varroa mites",10.3
"344",2015,"April-June","Illinois","Other pests/parasites",3.7
"345",2015,"April-June","Illinois","Disesases",0.2
"346",2015,"April-June","Illinois","Pesticides",2.5
"347",2015,"April-June","Illinois","Other",2.3
"348",2015,"April-June","Illinois","Unknown",2.4
"349",2015,"April-June","Indiana","Varroa mites",15.4
"350",2015,"April-June","Indiana","Other pests/parasites",1.8
"351",2015,"April-June","Indiana","Disesases",7
"352",2015,"April-June","Indiana","Pesticides",0.5
"353",2015,"April-June","Indiana","Other",4.4
"354",2015,"April-June","Indiana","Unknown",2
"355",2015,"April-June","Iowa","Varroa mites",21.5
"356",2015,"April-June","Iowa","Other pests/parasites",5.1
"357",2015,"April-June","Iowa","Disesases",2.9
"358",2015,"April-June","Iowa","Pesticides",7.8
"359",2015,"April-June","Iowa","Other",2.7
"360",2015,"April-June","Iowa","Unknown",1.9
"361",2015,"April-June","Kansas","Varroa mites",14.4
"362",2015,"April-June","Kansas","Other pests/parasites",2.4
"363",2015,"April-June","Kansas","Disesases",0.9
"364",2015,"April-June","Kansas","Pesticides",0.1
"365",2015,"April-June","Kansas","Other",3.5
"366",2015,"April-June","Kansas","Unknown",4.9
"367",2015,"April-June","Kentucky","Varroa mites",21.7
"368",2015,"April-June","Kentucky","Other pests/parasites",18.2
"369",2015,"April-June","Kentucky","Disesases",5.3
"370",2015,"April-June","Kentucky","Pesticides",1.8
"371",2015,"April-June","Kentucky","Other",9.5
"372",2015,"April-June","Kentucky","Unknown",2.9
"373",2015,"April-June","Louisiana","Varroa mites",36.4
"374",2015,"April-June","Louisiana","Other pests/parasites",3.7
"375",2015,"April-June","Louisiana","Disesases",0.2
"376",2015,"April-June","Louisiana","Pesticides",1.1
"377",2015,"April-June","Louisiana","Other",5
"378",2015,"April-June","Louisiana","Unknown",0.5
"379",2015,"April-June","Maine","Varroa mites",72.1
"380",2015,"April-June","Maine","Other pests/parasites",34.5
"381",2015,"April-June","Maine","Disesases",0.1
"382",2015,"April-June","Maine","Pesticides",34.5
"383",2015,"April-June","Maine","Other",0.5
"384",2015,"April-June","Maine","Unknown",0.1
"385",2015,"April-June","Maryland","Varroa mites",4.9
"386",2015,"April-June","Maryland","Other pests/parasites",1.3
"387",2015,"April-June","Maryland","Disesases",0.2
"388",2015,"April-June","Maryland","Pesticides",2.5
"389",2015,"April-June","Maryland","Other",1.6
"390",2015,"April-June","Maryland","Unknown",1.5
"391",2015,"April-June","Massachusetts","Varroa mites",66.8
"392",2015,"April-June","Massachusetts","Other pests/parasites",61.7
"393",2015,"April-June","Massachusetts","Disesases",0.2
"394",2015,"April-June","Massachusetts","Pesticides",61.8
"395",2015,"April-June","Massachusetts","Other",4.4
"396",2015,"April-June","Massachusetts","Unknown",3.1
"397",2015,"April-June","Michigan","Varroa mites",26.9
"398",2015,"April-June","Michigan","Other pests/parasites",13
"399",2015,"April-June","Michigan","Disesases",0.6
"400",2015,"April-June","Michigan","Pesticides",9.1
"401",2015,"April-June","Michigan","Other",16.4
"402",2015,"April-June","Michigan","Unknown",3.1
"403",2015,"April-June","Minnesota","Varroa mites",25.4
"404",2015,"April-June","Minnesota","Other pests/parasites",6.2
"405",2015,"April-June","Minnesota","Disesases",1.4
"406",2015,"April-June","Minnesota","Pesticides",16.5
"407",2015,"April-June","Minnesota","Other",10.1
"408",2015,"April-June","Minnesota","Unknown",9.3
"409",2015,"April-June","Mississippi","Varroa mites",10.1
"410",2015,"April-June","Mississippi","Other pests/parasites",6
"411",2015,"April-June","Mississippi","Disesases",0.3
"412",2015,"April-June","Mississippi","Pesticides",0.1
"413",2015,"April-June","Mississippi","Other",2.3
"414",2015,"April-June","Mississippi","Unknown",1.7
"415",2015,"April-June","Missouri","Varroa mites",5.1
"416",2015,"April-June","Missouri","Other pests/parasites",6.2
"417",2015,"April-June","Missouri","Disesases",3.1
"418",2015,"April-June","Missouri","Pesticides",1.6
"419",2015,"April-June","Missouri","Other",1
"420",2015,"April-June","Missouri","Unknown",7.4
"421",2015,"April-June","Montana","Varroa mites",9
"422",2015,"April-June","Montana","Other pests/parasites",0.9
"423",2015,"April-June","Montana","Disesases",0.8
"424",2015,"April-June","Montana","Pesticides",5.3
"425",2015,"April-June","Montana","Other",1.6
"426",2015,"April-June","Montana","Unknown",NA
"427",2015,"April-June","Nebraska","Varroa mites",6.5
"428",2015,"April-June","Nebraska","Other pests/parasites",6.9
"429",2015,"April-June","Nebraska","Disesases",NA
"430",2015,"April-June","Nebraska","Pesticides",1.4
"431",2015,"April-June","Nebraska","Other",2.1
"432",2015,"April-June","Nebraska","Unknown",1.5
"433",2015,"April-June","New Jersey","Varroa mites",52.5
"434",2015,"April-June","New Jersey","Other pests/parasites",3.6
"435",2015,"April-June","New Jersey","Disesases",0.3
"436",2015,"April-June","New Jersey","Pesticides",26.1
"437",2015,"April-June","New Jersey","Other",1
"438",2015,"April-June","New Jersey","Unknown",2.4
"439",2015,"April-June","New Mexico","Varroa mites",38.8
"440",2015,"April-June","New Mexico","Other pests/parasites",NA
"441",2015,"April-June","New Mexico","Disesases",15.5
"442",2015,"April-June","New Mexico","Pesticides",5.9
"443",2015,"April-June","New Mexico","Other",0.4
"444",2015,"April-June","New Mexico","Unknown",2.7
"445",2015,"April-June","New York","Varroa mites",19.1
"446",2015,"April-June","New York","Other pests/parasites",12.5
"447",2015,"April-June","New York","Disesases",4.5
"448",2015,"April-June","New York","Pesticides",4.4
"449",2015,"April-June","New York","Other",3.3
"450",2015,"April-June","New York","Unknown",1.1
"451",2015,"April-June","North Carolina","Varroa mites",51
"452",2015,"April-June","North Carolina","Other pests/parasites",14.3
"453",2015,"April-June","North Carolina","Disesases",0.3
"454",2015,"April-June","North Carolina","Pesticides",3.5
"455",2015,"April-June","North Carolina","Other",5.8
"456",2015,"April-June","North Carolina","Unknown",3
"457",2015,"April-June","North Dakota","Varroa mites",15.5
"458",2015,"April-June","North Dakota","Other pests/parasites",3
"459",2015,"April-June","North Dakota","Disesases",0.1
"460",2015,"April-June","North Dakota","Pesticides",4.3
"461",2015,"April-June","North Dakota","Other",4.6
"462",2015,"April-June","North Dakota","Unknown",0.3
"463",2015,"April-June","Ohio","Varroa mites",15.8
"464",2015,"April-June","Ohio","Other pests/parasites",4.1
"465",2015,"April-June","Ohio","Disesases",3
"466",2015,"April-June","Ohio","Pesticides",11.9
"467",2015,"April-June","Ohio","Other",11.2
"468",2015,"April-June","Ohio","Unknown",29
"469",2015,"April-June","Oklahoma","Varroa mites",66.1
"470",2015,"April-June","Oklahoma","Other pests/parasites",6.3
"471",2015,"April-June","Oklahoma","Disesases",NA
"472",2015,"April-June","Oklahoma","Pesticides",0.1
"473",2015,"April-June","Oklahoma","Other",7
"474",2015,"April-June","Oklahoma","Unknown",1.9
"475",2015,"April-June","Oregon","Varroa mites",39.3
"476",2015,"April-June","Oregon","Other pests/parasites",20.9
"477",2015,"April-June","Oregon","Disesases",13.2
"478",2015,"April-June","Oregon","Pesticides",16
"479",2015,"April-June","Oregon","Other",5.8
"480",2015,"April-June","Oregon","Unknown",0.4
"481",2015,"April-June","Pennsylvania","Varroa mites",11.4
"482",2015,"April-June","Pennsylvania","Other pests/parasites",5.8
"483",2015,"April-June","Pennsylvania","Disesases",2.6
"484",2015,"April-June","Pennsylvania","Pesticides",1.6
"485",2015,"April-June","Pennsylvania","Other",6.7
"486",2015,"April-June","Pennsylvania","Unknown",2.1
"487",2015,"April-June","South Carolina","Varroa mites",29.9
"488",2015,"April-June","South Carolina","Other pests/parasites",5.4
"489",2015,"April-June","South Carolina","Disesases",0.5
"490",2015,"April-June","South Carolina","Pesticides",1.4
"491",2015,"April-June","South Carolina","Other",3.7
"492",2015,"April-June","South Carolina","Unknown",0.7
"493",2015,"April-June","South Dakota","Varroa mites",9.8
"494",2015,"April-June","South Dakota","Other pests/parasites",11.1
"495",2015,"April-June","South Dakota","Disesases",1.8
"496",2015,"April-June","South Dakota","Pesticides",2
"497",2015,"April-June","South Dakota","Other",1.4
"498",2015,"April-June","South Dakota","Unknown",1.5
"499",2015,"April-June","Tennessee","Varroa mites",47.8
"500",2015,"April-June","Tennessee","Other pests/parasites",26.3
"501",2015,"April-June","Tennessee","Disesases",1.8
"502",2015,"April-June","Tennessee","Pesticides",9.8
"503",2015,"April-June","Tennessee","Other",2.6
"504",2015,"April-June","Tennessee","Unknown",3
"505",2015,"April-June","Texas","Varroa mites",19.3
"506",2015,"April-June","Texas","Other pests/parasites",22.9
"507",2015,"April-June","Texas","Disesases",2.5
"508",2015,"April-June","Texas","Pesticides",6.6
"509",2015,"April-June","Texas","Other",7.4
"510",2015,"April-June","Texas","Unknown",3
"511",2015,"April-June","Utah","Varroa mites",27.2
"512",2015,"April-June","Utah","Other pests/parasites",10.8
"513",2015,"April-June","Utah","Disesases",1.5
"514",2015,"April-June","Utah","Pesticides",12.3
"515",2015,"April-June","Utah","Other",5.6
"516",2015,"April-June","Utah","Unknown",1.2
"517",2015,"April-June","Vermont","Varroa mites",3.7
"518",2015,"April-June","Vermont","Other pests/parasites",1.9
"519",2015,"April-June","Vermont","Disesases",0.1
"520",2015,"April-June","Vermont","Pesticides",NA
"521",2015,"April-June","Vermont","Other",1.3
"522",2015,"April-June","Vermont","Unknown",0.1
"523",2015,"April-June","Virginia","Varroa mites",26.2
"524",2015,"April-June","Virginia","Other pests/parasites",13
"525",2015,"April-June","Virginia","Disesases",1.8
"526",2015,"April-June","Virginia","Pesticides",0.2
"527",2015,"April-June","Virginia","Other",3
"528",2015,"April-June","Virginia","Unknown",4.5
"529",2015,"April-June","Washington","Varroa mites",48.7
"530",2015,"April-June","Washington","Other pests/parasites",0.2
"531",2015,"April-June","Washington","Disesases",2.2
"532",2015,"April-June","Washington","Pesticides",2
"533",2015,"April-June","Washington","Other",3.2
"534",2015,"April-June","Washington","Unknown",0.5
"535",2015,"April-June","West Virginia","Varroa mites",15.6
"536",2015,"April-June","West Virginia","Other pests/parasites",8.3
"537",2015,"April-June","West Virginia","Disesases",0.6
